target,model,r2_mean,r2_std,mae_mean,mae_std,nrmae
R_th,Ridge,0.7155495027982299,0.06226646098478538,0.012334684572708468,0.0012229268123346575,0.061603452631066716
R_th,RF,0.7585942791845981,0.07884885154563348,0.010009265783487337,0.000926896304428907,0.049989549949993085
R_th,GBT,0.7628074817801525,0.08895012747751016,0.009630255947691334,0.0012080693473850964,0.0480966507575948
Nu,Ridge,0.7053211357282027,0.09009024998829487,3.8923357180999405,0.9144867569077558,0.03910762072905615
Nu,RF,0.6457901902988853,0.1234616413295665,4.112343123424225,0.9138712720493135,0.04131810995407241
Nu,GBT,0.5691953817716339,0.2042325964772831,4.3521527490477805,1.328653542749039,0.04372755882109898
f_friction,Ridge,0.8433932078846056,0.038624693370667484,0.7489813840106134,0.08442393564494301,0.06704295842142569
f_friction,RF,0.8969305762238134,0.020270395511199198,0.5593932450363679,0.06950225190935712,0.05007251030376499
f_friction,GBT,0.9237379477752657,0.0289051109643056,0.4333604184387303,0.06315812406946009,0.038791036913766244
P_pump,Ridge,0.9122192635726863,0.023427494305685942,0.2802756695077697,0.02039667186550599,0.04172239135929248
P_pump,RF,0.9138103813769518,0.02804874390564793,0.2186143096538904,0.02729026201637726,0.032543359186832
P_pump,GBT,0.924517941295355,0.044081827882598165,0.18490550361716176,0.03239436451615168,0.027525399546636103
COP,Ridge,0.08149263984701613,0.2325732686186705,238.7969947251285,36.94187471320783,0.07326263608534105
COP,RF,-0.27988862550440957,0.4904980857667116,238.927395525469,23.272330752266843,0.07330264289694928
COP,GBT,-0.2844855388894829,0.20085817385881768,246.18877166250633,43.583249014486796,0.07553042452384497
Q_vol,Ridge,0.9310232224238444,0.022676348962030232,9.401744759356683,1.2578988865924754,0.041600742345226385
Q_vol,RF,0.9255924990338154,0.021830841591634856,8.950668312719207,1.3516292423785674,0.0396048239795538
Q_vol,GBT,0.949082760735467,0.022793045409144654,6.892849158087062,1.3644803146238618,0.030499407204680508
T_max_surface,Ridge,0.1573347232967806,0.14095469165332747,8.081076007415678,0.9184877963710265,0.1020454971176558
T_max_surface,RF,-0.048465636394286714,0.14029468121311925,8.725268186857205,0.5960427642985873,0.11018017016491988
T_max_surface,GBT,-0.2004078894623765,0.203301591024348,9.367737348079006,0.7781744677370706,0.11829308543504966
T_avg_surface,Ridge,0.10006851448400345,0.13431209454491355,6.930866409412931,0.714044899212863,0.1044390553104809
T_avg_surface,RF,-0.10482406207452824,0.1253379034099345,7.545985947327677,0.5785088300153198,0.11370809898380674
T_avg_surface,GBT,-0.2673358984819434,0.21385297172569878,8.042228840061677,0.8189403681527704,0.12118582772076407
delta_T_max,Ridge,0.20234666351073702,0.1432097690253986,5.960177747702806,0.6400799110829438,0.10511460720944475
delta_T_max,RF,0.016525514998492818,0.13339393647132766,6.356675817254593,0.39158286943792153,0.11210730786443826
delta_T_max,GBT,-0.16421571363634951,0.18647947670502588,6.923043597415126,0.42654771319193957,0.122095856741291
sigma_T,Ridge,0.14235530294488916,0.15010297930600786,1.5972458254429625,0.1758268792599077,0.11249853634963942
sigma_T,RF,-0.032417133035108806,0.12234100893153922,1.6720781106769855,0.10100762664634691,0.11776918563006039
sigma_T,GBT,-0.33284849242449444,0.24907030445063444,1.8398853701128541,0.05925161365381707,0.12958832503532006
fluid_temp_rise,Ridge,0.07022045306971933,0.2367036016554294,4.115874865280546,0.37615806278716274,0.12631512787899093
fluid_temp_rise,RF,0.012840717145990731,0.23948409165517448,4.00878627431347,0.2426248719182503,0.1230286069071088
fluid_temp_rise,GBT,-0.2927945868623938,0.4179294743362453,4.358186911766113,0.27723624312529066,0.13375162148977476
